Number,Yelp_has_delivery,Yelp_type_Pricing,Yelp_Rating
106,Yes,$$,4.0
128,Yes,$$,4.0
156,Yes,$$,4.0
952,Yes,$$,4.0
172,Yes,$$,4.0
174,Yes,$$$,4.0
230,Yes,$$$,4.0
240,Yes,$$$,4.5
1238,Yes,$$$,4.5
248,Yes,$$$,4.0
267,Yes,$$,4.0
1741,Yes,$$,4.0
282,Yes,$$,4.0
291,Yes,$$$,4.0
295,Yes,$$,4.5
316,Yes,$$,4.0
812,Yes,$$,4.0
1354,Yes,$$,4.0
329,Yes,$$,4.5
332,Yes,$$,4.5
348,Yes,$$,4.5
367,Yes,$$,4.0
382,Yes,$$,4.5
388,Yes,$$,4.0
396,Yes,$$,4.0
424,Yes,$$$,4.5
428,Yes,$$$,4.5
429,Yes,$$,4.5
429,Yes,$$$,4.0
431,Yes,$$$$,4.5
434,Yes,$$,4.0
436,Yes,$$,4.0
440,Yes,$$,4.0
447,Yes,$$,4.0
550,Yes,$$,4.5
555,Yes,$$,4.0
697,No,$$,5.0
702,Yes,$$$,4.0
716,Yes,$$,4.0
717,No,,4.5
721,Yes,$$,4.0
722,No,,4.5
749,Yes,$$$,4.5
754,Yes,$$$,4.0
755,No,$$,4.0
756,No,$$$$,4.0
766,Yes,$$,4.5
781,Yes,$$,4.5
787,Yes,,4.5
887,Yes,,4.5
791,Yes,$$$,3.5
888,Yes,$$$,3.5
795,Yes,$$,4.5
802,Yes,$$,4.5
2133,Yes,$$,4.5
813,Yes,$$,4.0
814,Yes,$$,5.0
829,Yes,$$,4.5
834,Yes,$$$,4.0
839,Yes,$$,4.0
853,No,,4.5
864,Yes,$$$,4.0
872,Yes,$$,5.0
1079,Yes,$$,4.0
1188,Yes,$$,4.0
1279,Yes,$,4.0
1418,Yes,$$,4.5
1425,Yes,$$,4.0
1429,Yes,$$,4.0
1439,Yes,$$,4.5
1448,Yes,$$,5.0
1500,Yes,$$,5.0
1508,Yes,$$,4.0
1527,Yes,$$,4.0
1607,Yes,$$,4.0
1624,Yes,$$$,4.5
1668,Yes,$$,4.5
1684,Yes,$$$,4.0
1692,No,$$$,4.0
1704,No,$$,4.0
1714,Yes,$$,4.0
1718,Yes,$$,4.5
1720,Yes,$$,4.5
1729,No,$$,4.5
1809,Yes,$$,4.0
1912,Yes,$$$,4.0
1914,No,$$$$,4.0
1920,No,,4.0
2007,No,$$,4.0
2022,Yes,$$,4.0
2036,Yes,$$,5.0
2329,Yes,$$,4.0
2443,Yes,$$$,4.5
2455,Yes,$$,3.5
2483,Yes,$$,4.0
2485,No,$$$$,4.5
2487,No,$$,4.0
2565,No,$$$,4.5
2843,No,$$,4.0
2890,Yes,$$$$,4.0
2913,Yes,$,4.5
